<Comprimento de Onda>	<Intensidade>
603.45	0.682
603.65	0.673
603.86	0.683
604.06	0.681
604.26	0.685
604.46	0.680
604.66	0.677
604.87	0.684
605.07	0.669
605.27	0.676
605.47	0.685
605.67	0.671
605.87	0.680
606.08	0.662
606.28	0.665
606.48	0.667
606.68	0.667
606.88	0.671
607.08	0.681
607.29	0.668
607.49	0.659
607.69	0.673
607.89	0.683
608.09	0.670
608.29	0.671
608.49	0.674
608.70	0.672
608.90	0.670
609.10	0.667
609.30	0.659
609.50	0.666
609.70	0.671
609.91	0.679
610.11	0.670
610.31	0.674
610.51	0.677
610.71	0.670
610.91	0.679
611.11	0.664
611.31	0.669
611.52	0.667
611.72	0.661
611.92	0.668
612.12	0.661
612.32	0.675
612.52	0.664
612.72	0.658
612.92	0.667
613.13	0.666
613.33	0.671
613.53	0.663
613.73	0.654
613.93	0.669
614.13	0.650
614.33	0.663
614.53	0.656
614.73	0.673
614.94	0.658
615.14	0.664
615.34	0.658
615.54	0.657
615.74	0.657
615.94	0.655
616.14	0.662
616.34	0.654
616.54	0.649
616.74	0.657
616.95	0.649
617.15	0.653
617.35	0.647
617.55	0.658
617.75	0.647
617.95	0.660
618.15	0.646
618.35	0.660
618.55	0.651
618.75	0.649
618.95	0.640
619.15	0.653
619.36	0.632
619.56	0.652
619.76	0.650
619.96	0.645
620.16	0.638
620.36	0.643
620.56	0.642
620.76	0.646
620.96	0.641
621.16	0.645
621.36	0.642
621.56	0.641
621.76	0.627
621.96	0.654
622.16	0.621
622.37	0.632
622.57	0.631
622.77	0.635
622.97	0.629
623.17	0.629
623.37	0.632
623.57	0.640
623.77	0.631
623.97	0.635
624.17	0.631
624.37	0.626
624.57	0.619
624.77	0.633
624.97	0.640
625.17	0.635
625.37	0.623
625.57	0.637
625.77	0.621
625.97	0.634
626.17	0.626
626.37	0.630
626.57	0.625
626.77	0.625
626.97	0.622
627.17	0.626
627.37	0.624
627.57	0.620
627.77	0.610
627.97	0.618
628.17	0.626
628.37	0.609
628.57	0.616
628.77	0.617
628.97	0.605
629.17	0.613
629.37	0.618
629.57	0.611
629.77	0.619
629.97	0.611
630.17	0.601
630.37	0.610
630.57	0.610
630.77	0.611
630.97	0.613
631.17	0.616
631.37	0.601
631.57	0.609
631.77	0.595
631.97	0.604
632.17	0.597
632.37	0.609
632.57	0.595
632.77	0.597
632.97	0.606
633.17	0.593
633.37	0.601
633.57	0.607
633.77	0.590
633.97	0.602
634.17	0.597
634.37	0.608
634.57	0.607
634.77	0.612
634.97	0.593
635.17	0.586
635.37	0.595
635.57	0.593
635.77	0.598
635.97	0.594
636.17	0.599
636.37	0.598
636.57	0.589
636.77	0.598
636.96	0.585
637.16	0.599
637.36	0.581
637.56	0.587
637.76	0.593
637.96	0.577
638.16	0.588
638.36	0.576
638.56	0.580
638.76	0.574
638.96	0.579
639.16	0.577
639.36	0.579
639.56	0.591
639.76	0.588
639.96	0.571
640.15	0.576
640.35	0.577
640.55	0.587
640.75	0.577
640.95	0.577
641.15	0.574
641.35	0.575
641.55	0.579
